Time,Open,High,Low,Last,Change,%Chg,Volume
04/11/2022,582.58,589.28,579.43,580.61,-6.39,-1.09%,2351200
04/08/2022,597.38,598.59,585.97,587,-16.05,-2.66%,2046300
04/07/2022,599.83,607.6437,593.24,603.05,1.05,+0.17%,1658300
04/06/2022,602.08,611.59,593.77,602,-12.12,-1.97%,2374200
04/05/2022,629.55,632.2639,613,614.12,-20.73,-3.27%,1977700
04/04/2022,626.42,636.72,624.515,634.85,7.87,+1.26%,1648500
04/01/2022,631.69,634.57,618.69,626.98,-2.7,-0.43%,1626600
03/31/2022,630.48,638.9999,628.05,629.68,-1.41,-0.22%,2173000
03/30/2022,638.87,644.29,627.33,631.09,-10.38,-1.62%,1862600
03/29/2022,640,645.31,630,641.47,8.59,+1.36%,2300100
03/28/2022,625.88,633.3,615.78,632.88,4.01,+0.64%,1442800
03/25/2022,627.08,630.4051,620.065,628.87,2.44,+0.39%,1454000
03/24/2022,606.63,627.2169,602,626.43,27.05,+4.51%,2601500
03/23/2022,608,611.37,599.16,599.38,-11.96,-1.96%,1383800
03/22/2022,601.72,613.5,599.33,611.34,10.05,+1.67%,1926100
03/21/2022,605.6,605.6,588.86,601.29,-9.12,-1.49%,2578900
03/18/2022,603.97,613.21,595.99,610.41,7.74,+1.28%,4153700
03/17/2022,604.72,607,597.63,602.67,-4.45,-0.73%,1817400
03/16/2022,596.65,607.705,584.06,607.12,14.36,+2.42%,2945300
03/15/2022,577.27,596.76,575.04,592.76,24.96,+4.40%,2825900
03/14/2022,576.96,579.98,564.75,567.8,-10.05,-1.74%,2523300
03/11/2022,592,594.4299,577.12,577.85,-9.88,-1.68%,1981511
03/10/2022,585.56,590.02,576.37,587.73,-9.29,-1.56%,1932300
03/09/2022,588.79,601.635,587,597.02,21.07,+3.66%,2256000
03/08/2022,572.17,596.05,563.61,575.95,5.25,+0.92%,2699200
03/07/2022,597.08,598.78,570,570.7,-25.29,-4.24%,2649300
03/04/2022,592.79,605.91,584.01,595.99,17.39,+3.01%,4476100
03/03/2022,593.68,593.7,574.33,578.6,-7.18,-1.23%,2645300
03/02/2022,574.52,590.53,573.58,585.78,15.66,+2.75%,2177100
03/01/2022,584.79,587.62,565.3,570.12,-17.32,-2.95%,2489800
02/28/2022,581,592.3,576.38,587.44,-0.57,-0.10%,2500400
02/25/2022,579.83,589.38,574,588.01,8.01,+1.38%,2238000
02/24/2022,551.58,585.69,549.02,580,14.81,+2.62%,3531600
02/23/2022,580.23,585.07,564.74,565.19,-12.27,-2.12%,2241600
02/22/2022,579.99,590.21,569.81,577.46,-2.53,-0.44%,2020400
02/18/2022,580.94,587.74,573.28,579.99,0.99,+0.17%,1970700
02/17/2022,589.7,591.58,578.89,579,-18.21,-3.05%,2142400
02/16/2022,594.06,600.81,587.22,597.21,-5.56,-0.92%,2293100
02/15/2022,589.03,606.039,588.25,602.77,24.19,+4.18%,3428400
02/14/2022,575,582.8117,570.07,578.58,5.16,+0.90%,1929000
02/11/2022,591.36,599.76,569.075,573.42,-17.94,-3.03%,2728000
02/10/2022,595.3,614.64,588.57,591.36,-19.98,-3.27%,2491900
02/09/2022,607.35,611.72,601.56,611.34,11.12,+1.85%,2200300
02/08/2022,588.38,601.85,586.99,600.22,12.59,+2.14%,1457100
02/07/2022,590.16,601.58,584.16,587.63,-2.53,-0.43%,1867300
02/04/2022,576.38,596.53,576.14,590.16,9.31,+1.60%,2054800
