Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
05/01/2023,71.85,72.4,71.84,72.21,-1.02,-1.39%,1523,24161
04/28/2023,71.61,73.23,70.91,73.23,1.8,+2.52%,1742,24146
04/27/2023,71.32,71.55,71.15,71.43,0.18,+0.25%,2519,24224
04/26/2023,73.46,73.95,71.13,71.25,-2.02,-2.76%,2388,24035
04/25/2023,75.14,75.27,73.06,73.27,-1.94,-2.58%,2471,24328
04/24/2023,73.64,75.38,73.38,75.21,0.9,+1.21%,2049,24054
04/21/2023,72.91,74.32,72.91,74.31,0.88,+1.20%,1536,24342
04/20/2023,74.4,74.4,73.17,73.43,-1.55,-2.07%,2898,24732
04/19/2023,76.08,76.08,74.95,74.98,-1.49,-1.95%,2961,25051
04/18/2023,76.71,76.94,76.44,76.47,0.12,+0.16%,2083,25088
04/17/2023,77.05,77.25,76.15,76.35,-1.05,-1.36%,4382,25099
04/14/2023,77.39,77.52,76.92,77.4,0.31,+0.40%,2305,25976
04/13/2023,77.71,77.71,77.09,77.09,-0.53,-0.68%,1298,25597
04/12/2023,76.38,77.73,76.38,77.62,1.21,+1.58%,3497,25485
04/11/2023,75.53,76.41,75.03,76.41,1.37,+1.83%,3367,24658
04/10/2023,75.51,75.96,75.04,75.04,-0.54,-0.71%,1919,23980
04/06/2023,75.54,75.87,75.11,75.58,-0.16,-0.21%,4519,23611
04/05/2023,76.13,76.13,75.02,75.74,0,0.00%,4519,23222
04/04/2023,75.73,76.33,75.32,75.74,0.08,+0.11%,2111,22542
04/03/2023,75.5,76.89,74.8,75.66,3,+4.13%,5157,21988
03/31/2023,71.72,72.68,71.58,72.66,1.05,+1.47%,896,22740
03/30/2023,70.6,71.66,70.6,71.61,1.02,+1.44%,974,22673
03/29/2023,71.45,71.45,70.59,70.59,-0.36,-0.51%,2190,22610
03/28/2023,71.48,71.48,70.95,70.95,0.32,+0.45%,1286,22517
03/27/2023,68.2,70.63,68.11,70.63,3.05,+4.51%,2263,22520
03/24/2023,68.18,68.18,66.04,67.58,-0.54,-0.79%,1203,22248
03/23/2023,69,69.32,67.59,68.12,-0.55,-0.80%,838,22295
03/22/2023,67.44,68.73,67.44,68.67,0.92,+1.36%,1265,22325
03/21/2023,65.92,67.76,65.92,67.75,1.16,+1.74%,1836,22342
03/20/2023,65.56,66.65,64.24,66.59,0.7,+1.06%,1283,22404
03/17/2023,67.51,67.51,64.89,65.89,-1.09,-1.63%,2030,22567
03/16/2023,67.06,67.16,64.9,66.98,0.84,+1.27%,1737,22545
03/15/2023,69.92,70.08,64.56,66.14,-3.21,-4.63%,2610,22575
03/14/2023,70.45,71.51,69.01,69.35,-2.74,-3.80%,1821,22402
03/13/2023,71.78,72.97,70.29,72.09,-1.54,-2.09%,2769,22497
03/10/2023,73.32,73.9,72.64,73.63,0.8,+1.10%,2709,22051
03/09/2023,73.66,74.32,72.82,72.83,-0.89,-1.21%,2297,22207
03/08/2023,74.15,74.21,73.23,73.72,-0.78,-1.05%,2249,22381
03/07/2023,77.04,77.04,74.47,74.5,-2.37,-3.08%,2875,22674
03/06/2023,76,76.87,75.37,76.87,0.55,+0.72%,2183,22529
03/03/2023,74.85,76.36,73.6,76.32,1.37,+1.83%,2392,21405
03/02/2023,74.21,74.95,74.18,74.95,0.66,+0.89%,784,20406
03/01/2023,73.2,74.39,73.09,74.29,0.64,+0.87%,1094,20298
02/28/2023,74.14,74.4,73.38,73.65,0.83,+1.14%,898,20195
02/27/2023,73.53,73.74,72.59,72.82,-0.86,-1.17%,397,20122
02/24/2023,73.38,73.74,72.25,73.68,0.49,+0.67%,628,20155
02/23/2023,72.28,73.46,72.19,73.19,1.11,+1.54%,1670,20030
02/22/2023,73.05,73.32,71.99,72.08,-1.63,-2.21%,1079,20525
02/21/2023,74.14,74.47,73.54,73.71,-0.04,-0.05%,596,20757
02/17/2023,74.42,74.42,72.91,73.75,-1.81,-2.40%,572,20745
02/16/2023,75.61,75.85,75.13,75.56,-0.15,-0.20%,750,20704
02/15/2023,75.49,75.8,74.72,75.71,-0.29,-0.38%,1075,20886
02/14/2023,76.31,76.31,75.01,76,-0.54,-0.71%,1861,21157
02/13/2023,75.65,76.7,75.65,76.54,0.53,+0.70%,2061,20561
02/10/2023,74.5,76.27,74.5,76.01,1.27,+1.70%,2391,19742
02/09/2023,74.5,74.81,74.24,74.74,-0.48,-0.64%,2814,19603
02/08/2023,74.52,75.24,74.3,75.22,1.02,+1.37%,1855,19595
02/07/2023,73.32,74.46,72.86,74.2,2.01,+2.78%,3265,19918
02/06/2023,71.66,72.24,70.58,72.19,0.88,+1.23%,2554,20240
02/03/2023,73.57,74.81,71.26,71.31,-2.17,-2.95%,2754,20211
02/02/2023,72.88,73.93,72.88,73.48,-0.17,-0.23%,2083,20227
02/01/2023,73.94,75.84,73.44,73.65,-2.01,-2.66%,1464,20542
01/31/2023,73.73,75.79,73.73,75.66,1.11,+1.49%,531,20200
01/30/2023,75.65,75.9,74.51,74.55,-1.38,-1.82%,1051,20257
01/27/2023,77.45,77.56,75.89,75.93,-1.27,-1.65%,956,20309
01/26/2023,76.92,77.99,76.9,77.2,0.4,+0.52%,1011,20058
01/25/2023,77.14,77.49,76.8,76.8,-0.26,-0.34%,966,20025
01/24/2023,78.17,78.37,76.92,77.06,-1.36,-1.73%,462,20094
01/23/2023,77.5,78.62,77.42,78.42,0.6,+0.77%,2569,20184
01/20/2023,77.29,77.82,77,77.82,0.74,+0.96%,771,19960
01/19/2023,77,77.08,75.84,77.08,0.83,+1.09%,495,19692
01/18/2023,77.87,77.87,76,76.25,-0.2,-0.26%,2609,19627
01/17/2023,76.84,77.36,76.41,76.45,-0.38,-0.49%,2590,19518
01/13/2023,75.81,76.83,75.4,76.83,0.96,+1.27%,2729,19137
01/12/2023,75.68,75.87,75.37,75.87,0.58,+0.77%,1475,19003
01/11/2023,74.59,75.29,73.39,75.29,1.73,+2.35%,572,18908
01/10/2023,73.45,73.75,73.43,73.56,0.06,+0.08%,1413,18814
01/09/2023,74.25,74.25,72.99,73.5,1.02,+1.41%,659,19099
01/06/2023,72.95,73.12,72.4,72.48,0.21,+0.29%,540,19043
01/05/2023,71.5,72.94,71.5,72.27,0.61,+0.85%,572,18984
01/04/2023,71.72,72.24,71.45,71.66,-2.44,-3.29%,733,18834
01/03/2023,74.47,74.57,74.1,74.1,-2.2,-2.88%,1171,18859
12/30/2022,75.24,76.3,75.24,76.3,1.62,+2.17%,675,18748
12/29/2022,74.68,74.68,74.43,74.68,-0.8,-1.06%,346,18838
12/28/2022,75.68,76,74.96,75.48,-0.21,-0.28%,871,18881
12/27/2022,75.88,76.29,75.53,75.69,0.23,+0.30%,448,18606
12/23/2022,75.4,75.46,75,75.46,2.28,+3.12%,565,18596
12/22/2022,74.04,74.47,73.09,73.18,-0.76,-1.03%,597,18494
