Time,Open,High,Low,Last,Change,%Chg,Volume
09/02/2021,428.76,429.32,425.356,427.29,0.33,+0.08%,322600
09/01/2021,428.14,429.91,426.66,426.96,0.28,+0.07%,538100
08/31/2021,429.25,429.38,426.06,426.68,-2.62,-0.61%,1792100
08/30/2021,426.19,429.86,426.19,429.3,4.21,+0.99%,372900
08/27/2021,420.95,425.455,420.45,425.09,4.81,+1.14%,232400
08/26/2021,422.45,423.4564,419.7901,420.28,-2.48,-0.59%,248100
08/25/2021,423.51,424.72,421.91,422.76,0.03,+0.01%,457100
08/24/2021,423.04,424.01,422.3,422.73,0.6,+0.14%,329800
08/23/2021,417.76,422.63,417.76,422.13,5.85,+1.41%,378800
08/20/2021,412.85,416.67,411.98,416.28,5.2,+1.26%,447300
08/19/2021,405.59,412.75,405.12,411.08,3.07,+0.75%,408700
08/18/2021,412.42,414.03,407.62,408.01,-5.28,-1.28%,332200
08/17/2021,414.36,414.88,410.54,413.29,-3.56,-0.85%,374900
08/16/2021,414.84,416.9,410.85,416.85,0.77,+0.19%,306200
08/13/2021,414.5,416.3642,413.96,416.08,1.88,+0.45%,204400
08/12/2021,411.5,414.48,409.88,414.2,2.23,+0.54%,218900
08/11/2021,414,414.4,409.6678,411.97,-0.36,-0.09%,1202500
08/10/2021,416.32,416.9,411.305,412.33,-3.13,-0.75%,381400
08/09/2021,416.92,417.33,414.65,415.46,-1.02,-0.24%,223800
08/06/2021,415.72,417,415,416.48,-0.65,-0.16%,233200
08/05/2021,415.49,417.318,414.2801,417.13,2.62,+0.63%,198400
08/04/2021,413.47,415.5,412.06,414.51,1.03,+0.25%,380100
08/03/2021,412.13,413.6504,408.77,413.48,2.29,+0.56%,294100
08/02/2021,414.07,415,410.82,411.19,-1.02,-0.25%,461000
07/30/2021,409.78,412.75,409.51,412.21,-0.56,-0.14%,257100
07/29/2021,410.71,414.23,410.14,412.77,2.03,+0.49%,597200
07/28/2021,410.41,412.35,406.64,410.74,0.43,+0.10%,367600
07/27/2021,414.2,414.2,404.74,410.31,-4.52,-1.09%,1685100
07/26/2021,413.96,415.4006,412.5,414.83,0.1,+0.02%,316900
07/23/2021,413.02,415.15,411.422,414.73,4.03,+0.98%,430100
07/22/2021,408.72,411.21,408.72,410.7,2.71,+0.66%,326400
07/21/2021,404.08,408.08,403.19,407.99,4.12,+1.02%,1478600
